Wall time,Step,Value,Smoothed value
1690895638,3471,0.045410477,0.045266389
1690895638,3477,0.045537885,0.045269104
1690895638,3480,0.045291342,0.045269327
1690895638,3497,0.046218537,0.045278819
1690895639,3509,0.045024868,0.045276279
1690895639,3512,0.045081519,0.045274332
1690895639,3519,0.044886768,0.045270456
1690895639,3535,0.04495478,0.045267299
1690895639,3537,0.044123996,0.045255866
1690895639,3543,0.046355903,0.045266867
1690895639,3547,0.045124911,0.045265447
1690895639,3563,0.045432717,0.04526712
1690895640,3580,0.043791525,0.045252364
1690895640,3600,0.044499494,0.045244835
1690895640,3618,0.046272509,0.045255112
1690895641,3620,0.044761326,0.045250174
1690895641,3622,0.044783089,0.045245503
1690895641,3625,0.045117982,0.045244228
1690895641,3628,0.044944085,0.045241226
1690895641,3645,0.045179233,0.045240607
1690895642,3656,0.044507574,0.045233276
1690895642,3670,0.045168918,0.045232633
1690895643,3700,0.045373298,0.045234039
1690895643,3702,0.0450572,0.045232271
1690895643,3726,0.044127487,0.045221223
1690895643,3730,0.044843927,0.04521745
1690895643,3732,0.047043316,0.045235709
1690895644,3738,0.044298165,0.045226333
1690895644,3741,0.043662,0.04521069
1690895644,3743,0.044565599,0.045204239
1690895644,3752,0.045513663,0.045207333
1690895644,3759,0.043757092,0.045192831
1690895644,3772,0.045617871,0.045197081
1690895645,3780,0.044936068,0.045194471
1690895645,3793,0.044212945,0.045184656
1690895645,3795,0.044691719,0.045179727
1690895645,3798,0.044417765,0.045172107
1690895645,3814,0.045875825,0.045179144
1690895645,3819,0.045838442,0.045185737
1690895645,3821,0.044558451,0.045179464
1690895645,3831,0.046660781,0.045194277
1690895645,3835,0.045057617,0.045192911
1690895646,3864,0.04528679,0.04519385
1690895646,3869,0.04660292,0.04520794
1690895646,3876,0.045024976,0.045206111
1690895647,3920,0.045049157,0.045204541
1690895647,3928,0.04649784,0.045217474
1690895647,3935,0.045410011,0.045219399
1690895647,3939,0.044720955,0.045214415
1690895648,3950,0.04461053,0.045208376
1690895648,3956,0.043696471,0.045193257
1690895648,3962,0.046236537,0.04520369
1690895648,3984,0.045025211,0.045201905
1690895649,3995,0.043859769,0.045188484
1690895649,4000,0.045780703,0.045194406
1690895649,4009,0.046730395,0.045209766
1690895649,4010,0.046218432,0.045219853
1690895649,4022,0.045598067,0.045223635
1690895649,4033,0.04587264,0.045230125
1690895649,4036,0.044941574,0.045227239
1690895649,4046,0.045314375,0.045228111
1690895650,4093,0.045301177,0.045228841
1690895650,4098,0.045905989,0.045235613
1690895650,4099,0.044751249,0.045230769
1690895650,4109,0.044377968,0.045222241
1690895652,4182,0.045249816,0.045222517
1690895652,4193,0.044050407,0.045210796
1690895652,4194,0.045773275,0.045216421
1690895652,4196,0.047409654,0.045238353
1690895652,4198,0.044429645,0.045230266
1690895652,4201,0.04403298,0.045218293
1690895652,4202,0.0453577,0.045219687
1690895652,4227,0.045328103,0.045220771
1690895652,4232,0.044722125,0.045215785
1690895652,4235,0.045125484,0.045214882
1690895653,4243,0.044634826,0.045209081
1690895653,4254,0.046404917,0.045221039
1690895653,4263,0.045476805,0.045223597
1690895653,4266,0.045183148,0.045223193
1690895653,4267,0.044506907,0.04521603
1690895653,4282,0.043687396,0.045200743
1690895654,4298,0.046094112,0.045209677
1690895654,4304,0.045034032,0.045207921
1690895654,4308,0.045991227,0.045215754
1690895654,4317,0.044656977,0.045210166
